timestamp,20250720040609,20250906062501
MemTotal,4040828
MemFree,132268
MemAvailable,1147744
Buffers,180740
Cached,944348
SwapCached,1812
Active,1886516
Inactive,1308996
Active(anon),1245136
Inactive(anon),877524
Active(file),641380
Inactive(file),431472
Unevictable,1372
Mlocked,1372
SwapTotal,7071448
SwapFree,7015896
Dirty,348
Writeback,0
AnonPages,2068704
Mapped,245288
Shmem,59452
Slab,244068
SReclaimable,125616
SUnreclaim,118452
KernelStack,13424
PageTables,13972
NFS_Unstable,0
Bounce,0
WritebackTmp,0
CommitLimit,9091860
Committed_AS,6018236
VmallocTotal,263061440
VmallocUsed,0
VmallocChunk,0
Percpu,4160
AnonHugePages,4096
ShmemHugePages,0
ShmemPmdMapped,0
HugePages_Total,0
HugePages_Free,0
HugePages_Rsvd,0
HugePages_Surp,0
Hugepagesize,2048
Hugetlb,0
cmdline,comm,pid,ppid,VmSize,VmRSS,VmSwap
/usr/sbin/snoopdswitch0,avahi-daemon,2768,1778,7,3,0
/usr/sbin/inadyn-n-s-C-f/run/ddns-eth8-inadyn.conf-beth8,snoopd,2758,1778,6,1,0
avahi-daemon: chroot helper,inadyn,2349,1778,6,4,0
/bin/ubnd,avahi-daemon,2774,2768,6,0,0
/bin/bash/usr/sbin/unifi-mongo-service-helperwatchdog,ubnd,571,1,5,1,0
/usr/sbin/cron-f,unifi-mongo-ser,5911,1,3,1,0
/bin/bash-cif [ "true" = "true" ]; then DIR_PER_DB="--directoryperdb"; else DIR_PER_DB=""; fi; /usr/bin/mongod      --dbpath /data/unifi/data/db      $DIR_PER_DB      --bind_ip 127.0.0.1      --port 27117      --unixSocketPrefix /data/unifi/run      --logRotate reopen --logappend --logpath /data/unifi/logs/mongod.log      --pidfilepath /data/unifi/run/mongod.pid      --wiredTigerEngineConfigString=cache_size=192M      || /usr/sbin/unifi-mongo-service-helper handle-exit $?,cron,7012,1,3,1,0
/bin/sh/usr/bin/syswrapper.shgather-mem-info60/var/log/mem_trend/mem_trend_long.csv,bash,5907,1,3,1,0
/bin/sh/usr/bin/syswrapper.shgather-mem-info48/var/log/mem_trend/mem_trend_short.csv,syswrapper.sh,2113711,2113710,2,0,0
/bin/sh/usr/bin/syswrapper.shgather-mem-info60/var/log/mem_trend/mem_trend_long.csv,syswrapper.sh,2113710,2113695,2,0,0
/bin/sh/usr/bin/syswrapper.shgather-mem-info48/var/log/mem_trend/mem_trend_short.csv,syswrapper.sh,2113695,2113632,2,1,0
/bin/sh-c/usr/bin/syswrapper.sh gather-mem-info 48 /var/log/mem_trend/mem_trend_short.csv,syswrapper.sh,2113676,2113675,2,0,0
/bin/sh-ctest -x /usr/sbin/anacron || ( cd / && run-parts --report /etc/cron.daily ),syswrapper.sh,2113675,2113662,2,0,0
/bin/sh/etc/cron.daily/memory_monitor_long,syswrapper.sh,2113662,2113613,2,1,0
inet_gethost4,syswrapper.sh,2113632,2113629,2,1,0
inet_gethost4,syswrapper.sh,2113613,2113609,2,1,0
hciattach-s115200/dev/ttyS1bcsp115200,sh,2113609,2113577,2,0,0
/sbin/agetty-o-p -- \u--keep-baud115200-57600-38400-9600ttyS0xterm,sh,2113594,2113573,2,0,0
/sbin/agetty-o-p -- \u--nocleartty1linux,memory_monitor_,2113629,2113598,2,0,0
